Bug ID,Bug Title,Steps,Module,Module Wise,Expected Results,Actual Results,Acceptance Criteria
BUG-0383,ATM withdrawal receipt missing #382,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,Invalid login attempts should be blocked after the maximum retry limit and account should be temporarily locked,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0384,Login fails with valid credentials #383,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0385,Duplicate transaction in statement #384,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0386,ATM withdrawal receipt missing #385,Step 1: Open mobile banking app -> Step 2: Login -> Step 3: Go to Settings > Profile -> Step 4: Tap Update Email/Phone -> Step 5: Enter new contact details -> Step 6: Verify OTP on old and new number/email -> Step 7: Confirm update success message,Mobile Banking,Mobile Banking Wise,Biometric authentication (fingerprint/Face ID) should work reliably and grant access only to the registered user,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0387,Funds transfer not updating balance #386,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0388,Interest calculation incorrect for savings #387,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0389,ATM withdrawal receipt missing #388,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,MFA/OTP should be delivered within 30 seconds and should be valid for the configured expiry duration,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0390,Duplicate transaction in statement #389,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0391,ATM withdrawal receipt missing #390,"Step 1: Login to the banking portal -> Step 2: Navigate to Loans section -> Step 3: Click Apply for New Loan -> Step 4: Select loan type (Personal/Home/Auto) -> Step 5: Fill in personal and financial details -> Step 6: Upload required documents (ID proof, income proof, address proof) -> Step 7: Review application summary -> Step 8: Submit application -> Step 9: Verify application reference number is generated",Loans,Loans Wise,Loan approval status should be updated in real time and applicant should receive notification on status change,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0392,Interest calculation incorrect for savings #391,Step 1: Login to net banking -> Step 2: Go to Statements > E-Statement -> Step 3: Select account and month -> Step 4: Click Request E-Statement -> Step 5: Verify e-statement sent to registered email -> Step 6: Open email and validate PDF attachment content,Statements,Statements Wise,"Account statement should list all transactions within the selected date range with correct date, description, debit, credit, and running balance",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0393,Interest calculation incorrect for savings #392,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0394,Interest calculation incorrect for savings #393,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0395,Interest calculation incorrect for savings #394,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM should display an appropriate error message and return the card if an incorrect PIN is entered 3 times consecutively,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0396,Interest calculation incorrect for savings #395,Step 1: Open mobile banking app -> Step 2: Login with credentials -> Step 3: Navigate to Quick Transfer -> Step 4: Select beneficiary -> Step 5: Enter transfer amount -> Step 6: Authenticate with fingerprint/Face ID -> Step 7: Verify transaction success notification and SMS received,Mobile Banking,Mobile Banking Wise,Mobile banking registration should complete successfully with OTP verification and user should be able to log in with new credentials,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0397,ATM withdrawal receipt missing #396,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,"Total outstanding amount, minimum due, and payment due date should be calculated and displayed accurately",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0398,Duplicate transaction in statement #397,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0399,Duplicate transaction in statement #398,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Account linking should be completed after OTP verification and the linked account should appear in the dashboard immediately,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0400,Login fails with valid credentials #399,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0401,Duplicate transaction in statement #400,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,NEFT/RTGS transfer should be processed within the defined settlement window and beneficiary should receive funds accordingly,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0402,Funds transfer not updating balance #401,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0403,Funds transfer not updating balance #402,Step 1: Login to banking app -> Step 2: Navigate to Funds Transfer -> Step 3: Select IMPS as transfer mode -> Step 4: Enter beneficiary mobile number and MMID -> Step 5: Enter amount -> Step 6: Authenticate with MPIN -> Step 7: Verify instant confirmation and SMS notification,Funds Transfer,Funds Transfer Wise,Daily transfer limit exceeded error should be displayed when the transfer amount exceeds the configured limit,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0404,Funds transfer not updating balance #403,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,"Account statement should list all transactions within the selected date range with correct date, description, debit, credit, and running balance",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0405,Duplicate transaction in statement #404,Step 1: Login to banking app -> Step 2: Navigate to Funds Transfer -> Step 3: Select IMPS as transfer mode -> Step 4: Enter beneficiary mobile number and MMID -> Step 5: Enter amount -> Step 6: Authenticate with MPIN -> Step 7: Verify instant confirmation and SMS notification,Funds Transfer,Funds Transfer Wise,Daily transfer limit exceeded error should be displayed when the transfer amount exceeds the configured limit,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0406,ATM withdrawal receipt missing #405,Step 1: Login to net banking -> Step 2: Go to Statements > E-Statement -> Step 3: Select account and month -> Step 4: Click Request E-Statement -> Step 5: Verify e-statement sent to registered email -> Step 6: Open email and validate PDF attachment content,Statements,Statements Wise,Paginated statement view should load correctly for large datasets with consistent data across all pages,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0407,Funds transfer not updating balance #406,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM PIN change should be processed successfully and the new PIN should work immediately for subsequent transactions,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0408,Duplicate transaction in statement #407,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,"Bill amount should be fetched and displayed correctly for the selected biller and consumer number, and payment should be processed with a confirmation receipt",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0409,ATM withdrawal receipt missing #408,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Push notification preferences should be saved correctly and notifications should be sent or suppressed based on the configured settings,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0410,Duplicate transaction in statement #409,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Address update request should be submitted and marked as pending approval with an estimated processing timeline,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0411,Funds transfer not updating balance #410,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,Bill payment should fail gracefully with a clear error message if the account has insufficient funds,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0412,Duplicate transaction in statement #411,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0413,Funds transfer not updating balance #412,Step 1: Download and install mobile banking app -> Step 2: Open app and tap Register -> Step 3: Enter account number and registered mobile number -> Step 4: Verify OTP sent to mobile -> Step 5: Enter OTP -> Step 6: Set login password and MPIN -> Step 7: Verify registration success and dashboard is displayed,Mobile Banking,Mobile Banking Wise,Biometric authentication (fingerprint/Face ID) should work reliably and grant access only to the registered user,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0414,Login fails with valid credentials #413,Step 1: Open login page -> Step 2: Enter credentials and login -> Step 3: Remain idle for session timeout duration -> Step 4: Attempt any action after timeout -> Step 5: Verify session expiry message is shown -> Step 6: Confirm redirect to login page,Authentication,Authentication Wise,User should be authenticated successfully and redirected to the dashboard after entering valid credentials and OTP,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0415,ATM withdrawal receipt missing #414,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,"Total outstanding amount, minimum due, and payment due date should be calculated and displayed accurately",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0416,Login fails with valid credentials #415,Step 1: Open login page -> Step 2: Enter credentials and login -> Step 3: Remain idle for session timeout duration -> Step 4: Attempt any action after timeout -> Step 5: Verify session expiry message is shown -> Step 6: Confirm redirect to login page,Authentication,Authentication Wise,Password reset link should be sent to the registered email/phone and new password should be accepted after verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0417,Duplicate transaction in statement #416,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0418,ATM withdrawal receipt missing #417,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,MFA/OTP should be delivered within 30 seconds and should be valid for the configured expiry duration,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0419,Login fails with valid credentials #418,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select Balance Inquiry -> Step 4: Choose account type -> Step 5: Verify available balance displayed on screen -> Step 6: Opt to print mini statement -> Step 7: Collect printed statement,ATM Services,ATM Services Wise,"ATM should dispense the exact requested amount and print a receipt showing transaction details, remaining balance, and date/time",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0420,Login fails with valid credentials #419,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,Transaction reference number should be generated and displayed upon successful transfer along with SMS/email confirmation,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0421,Interest calculation incorrect for savings #420,Step 1: Open mobile banking app -> Step 2: Login -> Step 3: Go to Settings > Profile -> Step 4: Tap Update Email/Phone -> Step 5: Enter new contact details -> Step 6: Verify OTP on old and new number/email -> Step 7: Confirm update success message,Mobile Banking,Mobile Banking Wise,Biometric authentication (fingerprint/Face ID) should work reliably and grant access only to the registered user,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0422,Interest calculation incorrect for savings #421,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select PIN Change option -> Step 4: Enter current PIN -> Step 5: Enter new PIN and confirm -> Step 6: Verify PIN change success message -> Step 7: Eject card and test new PIN with balance inquiry,ATM Services,ATM Services Wise,Balance inquiry should display the correct available and ledger balance on screen with an option to print mini statement,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0423,Funds transfer not updating balance #422,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0424,Login fails with valid credentials #423,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0425,Login fails with valid credentials #424,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Address update request should be submitted and marked as pending approval with an estimated processing timeline,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0426,Interest calculation incorrect for savings #425,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,NEFT/RTGS transfer should be processed within the defined settlement window and beneficiary should receive funds accordingly,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0427,ATM withdrawal receipt missing #426,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,Paginated statement view should load correctly for large datasets with consistent data across all pages,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0428,Interest calculation incorrect for savings #427,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,Funds should be debited from source account and credited to beneficiary account with correct amounts reflected in both balances,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0429,Funds transfer not updating balance #428,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Alert threshold settings should be applied immediately and should trigger alerts only for transactions meeting the criteria,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0430,Login fails with valid credentials #429,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0431,ATM withdrawal receipt missing #430,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0432,Duplicate transaction in statement #431,Step 1: Login to banking app -> Step 2: Navigate to Funds Transfer -> Step 3: Select IMPS as transfer mode -> Step 4: Enter beneficiary mobile number and MMID -> Step 5: Enter amount -> Step 6: Authenticate with MPIN -> Step 7: Verify instant confirmation and SMS notification,Funds Transfer,Funds Transfer Wise,IMPS transfer should be completed instantly and both sender and receiver should receive real-time SMS/push notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0433,Duplicate transaction in statement #432,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,"Bill amount should be fetched and displayed correctly for the selected biller and consumer number, and payment should be processed with a confirmation receipt",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0434,Login fails with valid credentials #433,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0435,Duplicate transaction in statement #434,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0436,Interest calculation incorrect for savings #435,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,"Account statement should list all transactions within the selected date range with correct date, description, debit, credit, and running balance",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0437,Interest calculation incorrect for savings #436,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,"Loan calculator should compute and display accurate monthly EMI, total interest payable, and total amount payable based on input parameters",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0438,Funds transfer not updating balance #437,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,"Bill amount should be fetched and displayed correctly for the selected biller and consumer number, and payment should be processed with a confirmation receipt",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0439,ATM withdrawal receipt missing #438,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,Push notification preferences should be saved correctly and notifications should be sent or suppressed based on the configured settings,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0440,Interest calculation incorrect for savings #439,"Step 1: Login to the banking portal -> Step 2: Navigate to Loans section -> Step 3: Click Apply for New Loan -> Step 4: Select loan type (Personal/Home/Auto) -> Step 5: Fill in personal and financial details -> Step 6: Upload required documents (ID proof, income proof, address proof) -> Step 7: Review application summary -> Step 8: Submit application -> Step 9: Verify application reference number is generated",Loans,Loans Wise,"EMI schedule should display correct monthly breakdown with principal, interest, and outstanding balance for each installment",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0441,Interest calculation incorrect for savings #440,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0442,Login fails with valid credentials #441,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,"Credit card statement should display all transactions for the current billing cycle with correct amounts, dates, and merchant details",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0443,ATM withdrawal receipt missing #442,"Step 1: Login to the banking portal -> Step 2: Navigate to Loans section -> Step 3: Click Apply for New Loan -> Step 4: Select loan type (Personal/Home/Auto) -> Step 5: Fill in personal and financial details -> Step 6: Upload required documents (ID proof, income proof, address proof) -> Step 7: Review application summary -> Step 8: Submit application -> Step 9: Verify application reference number is generated",Loans,Loans Wise,Loan approval status should be updated in real time and applicant should receive notification on status change,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0444,Interest calculation incorrect for savings #443,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select Balance Inquiry -> Step 4: Choose account type -> Step 5: Verify available balance displayed on screen -> Step 6: Opt to print mini statement -> Step 7: Collect printed statement,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0445,Login fails with valid credentials #444,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
